Master Ball
Ultra Ball
Great Ball
Poke Ball
Safari Ball
Net Ball
Dive Ball
Nest Ball
Repeat Ball
Timer Ball
Luxury Ball
Premier Ball
Dusk Ball
Heal Ball
Quick Ball
Cherish Ball
Potion
Antidote
Burn Heal
Ice Heal
Awakening
Paralyze Heal
Full Restore
Max Potion
Hyper Potion
Super Potion
Full Heal
Revive
Max Revive
Fresh Water
Soda Pop
Lemonade
Moomoo Milk
Energy Powder
Energy Root
Heal Powder
Revival Herb
Ether
Max Ether
Elixir
Max Elixir
Lava Cookie
Berry Juice
Sacred Ash
HP Up
Protein
Iron
Carbos
Calcium
Rare Candy
PP Up
Zinc
PP Max
Old Gateau
Guard Spec
Dire Hit
X Attack
X Defense
X Speed
X Accuracy
X Sp Atk
X Sp Def
Poke Doll
Red Shard
Blue Shard
Yellow Shard
Green Shard
Super Repel
Max Repel
Escape Rope
Repel
Sun Stone
Moon Stone
Fire Stone
Thunder Stone
Water Stone
Leaf Stone
Tiny Mushroom
Big Mushroom
Pearl
Big Pearl
Stardust
Star Piece
Nugget
Heart Scale
Honey
Growth Mulch
Damp Mulch
Stable Mulch
Gooey Mulch
Root Fossil
Claw Fossil
Helix Fossil
Dome Fossil
Old Amber
Armor Fossil
Skull Fossil
Rare Bone
Shiny Stone
Dusk Stone
Dawn Stone
Oval Stone
Adamant Orb
Lustrous Orb
Cheri Berry
Chesto Berry
Pecha Berry
Rawst Berry
Aspear Berry
Leppa Berry
Oran Berry
Persim Berry
Lum Berry
Sitrus Berry
Figy Berry
Wiki Berry
Mago Berry
Aguav Berry
Iapapa Berry
Razz Berry
Bluk Berry
Nanab Berry
Wepear Berry
Pinap Berry
Pomeg Berry
Kelpsy Berry
Qualot Berry
Hondew Berry
Grepa Berry
Tamato Berry
Cornn Berry
Magost Berry
Rabuta Berry
Nomel Berry
Spelon Berry
Pamtre Berry
Watmel Berry
Durin Berry
Belue Berry
Occa Berry
Passho Berry
Wacan Berry
Rindo Berry
Yache Berry
Chople Berry
Kebia Berry
Shuca Berry
Coba Berry
Payapa Berry
Tanga Berry
Charti Berry
Kasib Berry
Haban Berry
Colbur Berry
Babiri Berry
Chilan Berry
Liechi Berry
Ganlon Berry
Salac Berry
Petaya Berry
Apicot Berry
Lansat Berry
Starf Berry
Enigma Berry
Micle Berry
Custap Berry
Jaboca Berry
Rowap Berry
Bright Powder
White Herb
Macho Brace
Exp Share
Quick Claw
Soothe Bell
Mental Herb
Choice Band
Kings Rock
Silver Powder
Amulet Coin
Cleanse Tag
Soul Dew
Deep Sea Tooth
Deep Sea Scale
Smoke Ball
Everstone
Focus Band
Lucky Egg
Scope Lens
Metal Coat
Leftovers
Dragon Scale
Light Ball
Soft Sand
Hard Stone
Miracle Seed
Black Glasses
Black Belt
Magnet
Mystic Water
Sharp Beak
Poison Barb
Never-Melt Ice
Spell Tag
Twisted Spoon
Charcoal
Dragon Fang
Silk Scarf
Up-Grade
Shell Bell
Sea Incense
Lax Incense
Lucky Punch
Metal Powder
Thick Club
Stick
Wide Lens
Muscle Band
Wise Glasses
Expert Belt
Light Clay
Life Orb
Power Herb
Toxic Orb
Flame Orb
Quick Powder
Focus Sash
Zoom Lens
Metronome
Iron Ball
Lagging Tail
Destiny Knot
Black Sludge
Icy Rock
Smooth Rock
Heat Rock
Damp Rock
Grip Claw
Choice Scarf
Sticky Barb
Power Bracer
Power Belt
Power Lens
Power Band
Power Anklet
Power Weight
Shed Shell
Big Root
Choice Specs
Flame Plate
Splash Plate
Zap Plate
Meadow Plate
Icicle Plate
Fist Plate
Toxic Plate
Earth Plate
Sky Plate
Mind Plate
Insect Plate
Stone Plate
Spooky Plate
Draco Plate
Dread Plate
Iron Plate
Odd Incense
Rock Incense
Full Incense
Wave Incense
Rose Incense
Luck Incense
Pure Incense
Protector
Electirizer
Magmarizer
Dubious Disc
Reaper Cloth
Razor Claw
Razor Fang
Griseous Orb
Lure Ball
Level Ball
Moon Ball
Heavy Ball
Fast Ball
Friend Ball
Love Ball
Rage Candy Bar
Douse Drive
Shock Drive
Burn Drive
Chill Drive
Sweet Heart
Prism Scale
Eviolite
Float Stone
Rocky Helmet
Air Balloon
Red Card
Ring Target
Binding Band
Absorb Bulb
Cell Battery
Eject Button
Health Wing
Muscle Wing
Resist Wing
Genius Wing
Clever Wing
Swift Wing
Pretty Wing
Cover Fossil
Plume Fossil
Balm Mushroom
Big Nugget
Pearl String
Comet Shard
Casteliacone
Weakness Policy
Assault Vest
Pixie Plate
Ability Capsule
Whipped Dream
Sachet
Luminous Moss
Snowball
Safety Goggles
Rich Mulch
Surprise Mulch
Boost Mulch
Amaze Mulch
Roseli Berry
Kee Berry
Maranga Berry
Discount Coupon
Strange Souvenir
Lumiose Galette
Jaw Fossil
Sail Fossil
Bottle Cap
Gold Bottle Cap
Festival Ticket
Adrenaline Orb
Ice Stone
Beast Ball
Big Malasada
Red Nectar
Yellow Nectar
Pink Nectar
Purple Nectar
Terrain Extender
Protective Pads
Electric Seed
Psychic Seed
Misty Seed
Grassy Seed
Fighting Memory
Flying Memory
Poison Memory
Ground Memory
Rock Memory
Bug Memory
Ghost Memory
Steel Memory
Fire Memory
Water Memory
Grass Memory
Electric Memory
Psychic Memory
Ice Memory
Dragon Memory
Dark Memory
Fairy Memory
Roto Hatch
Roto Bargain
Roto Prize Money
Roto Exp Points
Roto Friendship
Roto Encounter
Roto Stealth
Roto HP Restore
Roto PP Restore
Roto Boost
Roto Catch
